Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
2;Esch;;49,898056;6,850278;1561;1561;WMD;WMD;ei;au;
6;Eschau im Spessart;;49,820278;9,257222;1462;vor 1463;MDT;Franken;i_ei;;
6;Eschau im Spessart;;49,820278;9,257222;1463;1463;MDT;Franken;;;
4;Escholzmatt;;;;1500;1500;CH;CH;i;;
6;Eschringen bei Saarbrücken;;49,190827;7,101248;1498;1498;WMD;WMD;;;
2;Eschweiler;Eschweiler (Junglinster);49,717083;6,310053;1401;1401;WMD;WMD;ei;;
2;Eschweiler (Weisthum des Glöckners);Eschweiler (Junglinster);49,717083;6,310053;1401;1401;WMD;WMD;ei;;
1;Espach;Eschbach im Schwarzwald;48,002222;7,979444;NN;NN;WOD;Schwarzwald;i;;
1;Espach Eschbach bei Staufen am Rhein;;47,89;7,655;NN;NN;WOD;Baden;;u;
6;Essenbach bei Landshut;;48,616667;12,216667;NN;NN;OOD;Baiern;ei;;
1;Euchhofen ;Eichhoffen;48,383611;7,441667;NN;NN;Elsass;Elsass;ei;;
3;Everloh;;52,335;9,604444444;1605;1605;NDT;Niedersachsen;;;
2;Faha;;49,525933;6,486139;1462;1462;WMD;WMD;ei;;
2;Faha;;49,525933;6,486139;1529;1529;WMD;WMD;ei;;
2;Faha (Saar);;49,525933;6,486139;1529;1529;WMD;WMD;;;
5;Fahr Ginnersdorf Wolfendorf;;;;1494;1494;MDT;MDT;ei;;
6;Faid;;;;1580;1580;WMD;WMD;ei;au;
2;Fankel;Bruttig-Fankel;50,131389;7,231667;1459;1459;WMD;WMD;ei;;
6;Fankel;;50,131389;7,231667;1446;1446;WMD;WMD;ei;;
1;Farnau;Fahrnau;47,661389;7,837778;NN;NN;WOD;Baden;;u;
1;Fegersheim;;48,490556;7,680278;NN;NN;Elsass;Elsass;i;;
